Date	NOX(mmole/m3)	NH4(mmole/m3)	PO4(mmole/m3)	TotP(mmole/m3)	Chl(mg/m3)	Wind Spd	AirP	AirT	Hum	CC	SWR	delT	outflow	DO_sur	DO_bot
2019-01-23	1.111	3.3259		0.59735											
2019-04-12	0.08415		0.15394	0.47437	7.3793	3.9302291666666687	960.4475541666666	10.841666666666663	71.375	0.25556249999999997	915.0	0.15708333333333302	-3.06614819316	9.231705729166665	9.108515625
2019-05-14	2.4072			0.25831		2.812633333333333	958.4749833333334	16.82916666666667	62.125	0.3919458333333334	732.0	5.766527777777778	-0.944904867543	8.178203125000003	3.5741510416666666
2019-06-09	0.094872		0.52276	0.66357	2.1478	1.527379166666667	960.8906041666665	22.945833333333336	34.083333333333336	0.2409125	1033.0	2.43375	-0.873433145715	7.717812500000001	6.761651041666667
2019-06-25				0.24217		3.9116	952.2341500000001	24.46666666666667	40.5	0.24884166666666663	1052.0	6.052083333333333	-0.531110782332		1.181174479166667
2019-07-13	0.40086		0.93939	1.0706	8.7475	1.601895833333333	954.0571541666667	26.00833333333333	50.291666666666664	0.22884583333333333	980.0	0.8570833333333331	-0.394340411322	8.231822916666665	6.946565755208332
2019-08-13	6.3142	3.2705	0.74759	1.0211		1.9557958333333338	957.7948833333331	25.3875	49.25	0.18759583333333338	937.0	0.49249999999999927	-0.2141263336446	7.806445312500002	6.701949869791668
2019-08-31	0.015204		1.7783	2.0597	16.936	1.3038583333333331	957.5239624999999	25.42083333333333	49.0	0.20900416666666666	915.0	0.6927777777777778	-0.17464981724189999	7.807981770833333	6.010777994791667
2019-10-11	0.2757		2.2453	2.4091	39.762	0.9313208333333334	960.7114124999999	16.025000000000002	38.166666666666664	0.18982083333333333	765.0	0.29861111111111116	-0.21216680783220002	5.826490885416667	5.308776041666667
2019-11-22	0.39328		0.98145	1.1634	9.1344	0.726433333333333	963.1453833333331	10.97916666666667	63.625	0.18471250000000003	476.0	0.13027777777777763	-0.23133448156649997	4.900136718750001	4.777330729166667
2020-01-15	1.7591	8.786		0.36325		1.1921000000000002	964.7327416666667	4.5249999999999995	82.625	0.2917083333333334	385.0	0.05111111111111114	-0.899739496578	8.731165364583335	8.495091145833333
2020-01-17	1.4374		0.23465	0.52453	26.239	1.3224791666666667	965.8036875000001	4.474999999999999	86.54166666666667	0.32030416666666667	396.0	0.02083333333333322	-4.32511521078	9.028463541666666	8.811868489583334
2020-03-06	0.013517	0.22935	0.048725	0.28212	4.9842	1.2107166666666667	960.1187916666664	11.304166666666667	76.875	0.3238541666666667	623.0	1.9333333333333325	-0.44485766637	9.681679687500003	8.586129557291667
2020-06-08	0.37246	6.1506	0.61626	0.78189	13.543	0.9024791666666668	966.276375	14.70833333333333	57.166666666666664	0.18084999999999998	1036.0	0.30305555555555524	-0.20934361818629998	6.330865885416665	6.277018229166668
2020-07-22	0.034256	4.8477	1.8003	2.0004	14.185	0.5587958333333334	950.7257958333331	26.4875	52.083333333333336	0.20500833333333332	919.5	3.7362499999999996	-0.046935173902499995	9.258528645833332	2.4370529513888886
2020-09-08	0.046384	14.057	4.2183	4.1568	5.9177	2.1793166666666672	949.4220374999999	30.97916666666667	22.833333333333332	0.4663333333333333	395.0	0.6665277777777775	-0.038029525520999995		3.069848090277778
2020-10-16	0.050504	0.66921	4.1965	3.855	31.738	1.3783666666666667	960.1992166666665	24.991666666666664	35.333333333333336	0.11671250000000001	677.0	0.8241666666666664	-0.0571773774624	6.576888020833333	4.877035590277778
