Date,U,delT,AirT,Prec,swr,MLD,W,Ice_d,days_from_iceoff,inflow,outflow,N_Nit,O2,PO4,N_Amm,Si,CAR_dic,Chl
1979-03-01,1.5939409927916666,-2.6209285665725184,-2.9924949646666668,0.4762,185.2109987,1.5481211572891111,0.0,93.0,-46,7.635921000000001,7.867275999999999,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-02,4.24935391275,-2.4682560470072548,-5.280407969541667,0.6036000416666667,188.4702901795833,1.5011164660255725,0.0,93.0,-45,7.28751,7.936561,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-03,3.2028130653750004,-2.664456515307648,-1.5174926757499998,9.677200041666667,75.18379139541666,0.65,0.0,93.0,-44,8.554949,8.209878999999999,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-04,1.9194686325833328,-3.2187315883368264,0.6166714985,3.0956,109.18775065583333,0.65,0.0,93.0,-43,9.942403,8.346746000000001,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-05,2.8154777010000003,-3.3111868487154514,-2.330825551333333,0.0822,84.29395818625,0.65,0.0,93.0,-42,9.816358,8.669169,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-06,2.9192401929166665,-2.6983117867595867,-4.94416402175,0.1777,165.19766997833332,0.65,0.0,93.0,-41,9.838399,8.78093,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-07,3.537658440166666,-3.2173395856690004,-0.8374910988750001,2.7147999166666668,85.51983380458333,0.65,0.0,93.0,-40,10.088657,9.040184,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-08,1.9379311215416664,-3.39634456147173,-0.7449935913333333,0.0131,129.71479240583332,0.65,0.0,93.0,-39,9.304002,9.072712,23.1405086517334,419.2211608886719,2.2906606197357178,15.31560230255127,31.818927764892578,4055.901611328125,2.8747236728668213
1979-03-09,4.172225514333332,-3.434932851296038,-1.520409647708333,0.0125,111.8214173275,0.65,0.0,93.0,-38,10.431268,9.230678,21.435665130615234,420.42132568359375,1.7592302560806274,14.352169036865234,34.94068908691406,4050.025146484375,2.8747236728668213
1979-03-10,6.188487555333332,-2.8153025979148723,-12.510413868625,0.0,105.91708294333333,0.65,0.0,93.0,-37,10.245037,9.34655,20.093339920043945,425.6061096191406,1.4849820137023926,12.851449966430664,40.454002380371094,4037.705810546875,2.8747236728668213
1979-03-11,3.923617040875,-2.3404535380061886,-10.110417429916666,0.0,146.08608388791666,0.65,0.0,93.0,-36,10.166668,9.411661,22.60565185546875,428.611572265625,1.522747278213501,12.515039443969727,45.2169075012207,4035.71875,2.8747236728668213
1979-03-12,3.280173364625,-2.2313961789662686,-6.98749389625,0.0,210.64495531666665,0.65,0.0,93.0,-35,9.729857,9.429047,22.993385314941406,432.1148376464844,1.5508952140808105,12.948698043823242,47.43098068237305,4031.94970703125,2.8747236728668213
1979-03-13,6.079207740666669,-2.5481285035002346,-0.6233238219583334,0.0,160.54262351208334,0.65,0.0,93.0,-34,11.486942,9.332657,22.844877243041992,428.6949157714844,1.855437159538269,12.943212509155273,47.8179817199707,4012.486083984375,2.8747236728668213
1979-03-14,7.797992961083334,-2.811312736743337,-6.647912089041665,0.0,142.09470908333333,0.65,0.0,93.0,-33,10.955918,9.641255,22.145326614379883,425.4732666015625,1.38869309425354,12.258634567260742,31.280269622802734,3894.26708984375,2.8747236728668213
1979-03-15,3.617861245,-2.1467392141951698,-12.859579468458335,0.0,222.67770735,0.65,0.0,93.0,-32,10.81413,9.743385,24.998462677001953,418.64984130859375,1.871099829673767,11.830788612365723,35.94722366333008,3872.660888671875,2.8747236728668213
