Date,O2,CAR_dic,Si,N_Nit,PO4,N_Amm,Chl,SST,delT,U,AirT,CC,Prec,swr,inflow,outflow,MLD,W,doy,month,Ice_d,days_from_iceoff,YY
2010-02-01,346.875,3954.166667,151.7857143,47.71428571,3.612903226,12.03225806,3.530435344395897,1.80872698,-0.238203422,1.652515732,-9.853746796,,0.391,56.21175038,7.191183,8.084433,,,32,2,88.95833333,-65,2010
2010-02-01,346.875,3954.166667,151.7857143,47.71428571,3.612903226,12.03225806,3.530435344395897,1.80872698,-0.238203422,1.652515732,-9.853746796,,0.391,56.21175038,7.191183,8.084433,,,32,2,88.95833333,-65,2010
2010-04-13,440.625,3664.166667,16.57142857,58.5,0.580645161,0.838709677,5.371219034979306,5.497895206,0.0,6.093596918,12.84750392,,0.0,247.1316659,13.659959,12.614779,,,103,4,88.95833333,6,2010
2010-04-13,440.625,3664.166667,16.57142857,58.5,0.580645161,0.838709677,5.371219034979306,5.497895206,0.0,6.093596918,12.84750392,,0.0,247.1316659,13.659959,12.614779,,,103,4,88.95833333,6,2010
2010-05-10,318.75,3516.666667,4.357142857,45.64285714,0.967741935,4.35483871,2.8069895164320138,10.95304241,0.220122408,5.564277395,9.735835011,,0.2654,264.0336642,9.950657,10.08583,,,130,5,88.95833333,33,2010
2010-05-10,318.75,3516.666667,4.357142857,45.64285714,0.967741935,4.35483871,2.8069895164320138,10.95304241,0.220122408,5.564277395,9.735835011,,0.2654,264.0336642,9.950657,10.08583,,,130,5,88.95833333,33,2010
2010-06-07,343.75,3345.833333,27.89285714,30.28571429,0.0,1.064516129,5.219718159716174,21.01783259,8.922728529,1.541935072,18.79708888,,0.1802,295.0403322,12.09611,11.76361,8.62055136,193.8111905,158,6,88.95833333,61,2010
2010-06-07,343.75,3345.833333,27.89285714,30.28571429,0.0,1.064516129,5.219718159716174,21.01783259,8.922728529,1.541935072,18.79708888,,0.1802,295.0403322,12.09611,11.76361,8.62055136,193.8111905,158,6,88.95833333,61,2010
2010-07-05,293.75,2995.833333,37.5,5.0,0.0,0.0,6.9379988878243095,24.68016595,12.17507682,4.463569926,24.66667074,,6.880599875,211.6002118,18.142541,18.577355,8.668778478,6.550559756,186,7,88.95833333,89,2010
2010-07-05,293.75,2995.833333,37.5,5.0,0.0,0.0,6.9379988878243095,24.68016595,12.17507682,4.463569926,24.66667074,,6.880599875,211.6002118,18.142541,18.577355,8.668778478,6.550559756,186,7,88.95833333,89,2010
2010-08-03,237.5,2631.666667,31.85714286,0.0,0.0,0.0,6.36780708988174,27.02277243,13.79197908,1.804296316,26.78375524,,0.521,264.1662922,24.889862,26.721396,8.20371914,279.7493819,215,8,88.95833333,118,2010
2010-08-03,237.5,2631.666667,31.85714286,0.0,0.0,0.0,6.36780708988174,27.02277243,13.79197908,1.804296316,26.78375524,,0.521,264.1662922,24.889862,26.721396,8.20371914,279.7493819,215,8,88.95833333,118,2010
2010-08-30,234.375,2916.666667,51.42857143,0.0,0.0,0.0,6.059874898716207,23.2448676,8.875918117,5.514494402,24.80542145,,0.0,228.2319573,12.89834,16.668225,9.865474176,13.98632324,242,8,88.95833333,145,2010
2010-08-30,234.375,2916.666667,51.42857143,0.0,0.0,0.0,6.059874898716207,23.2448676,8.875918117,5.514494402,24.80542145,,0.0,228.2319573,12.89834,16.668225,9.865474176,13.98632324,242,8,88.95833333,145,2010
2010-10-05,212.5,3360.833333,25.35714286,2.285714286,0.838709677,7.064516129,4.663862767868312,16.75187852,0.164019118,2.288657495,11.2270841,,0.0,182.4359983,3.245963,7.909238,,,278,10,88.95833333,181,2010
2010-10-05,212.5,3360.833333,25.35714286,2.285714286,0.838709677,7.064516129,4.663862767868312,16.75187852,0.164019118,2.288657495,11.2270841,,0.0,182.4359983,3.245963,7.909238,,,278,10,88.95833333,181,2010
2010-11-09,334.375,3530.0,1.642857143,8.857142857,2.0,15.48387097,8.249183392698416,9.318296973,0.379471181,3.579337448,9.984595235,,0.0,104.3105005,3.526631,5.482965,,,313,11,88.95833333,216,2010
2010-11-09,334.375,3530.0,1.642857143,8.857142857,2.0,15.48387097,8.249183392698416,9.318296973,0.379471181,3.579337448,9.984595235,,0.0,104.3105005,3.526631,5.482965,,,313,11,88.95833333,216,2010
2011-04-18,425.0,3485.0,0.0,65.35714286,0.225806452,0.935483871,7.706825342175667,5.538809892,0.040711314,3.682363583,3.707922872,,0.8229,213.2204983,12.971386,14.828253,,,108,4,81.95833333,8,2011
2011-04-18,425.0,3485.0,0.0,65.35714286,0.225806452,0.935483871,7.706825342175667,5.538809892,0.040711314,3.682363583,3.707922872,,0.8229,213.2204983,12.971386,14.828253,,,108,4,81.95833333,8,2011
2011-04-18,425.0,3485.0,0.0,65.35714286,0.225806452,0.935483871,7.706825342175667,5.538809892,0.040711314,3.682363583,3.707922872,,0.8229,213.2204983,12.971386,14.828253,,,108,4,81.95833333,8,2011
2011-05-17,318.75,3730.0,5.5,60.71428571,1.0,3.322580645,5.144413844123939,11.11058639,1.062767904,4.099551022,7.828753407,,0.0,311.8745807,11.412496,13.42279,23.15,1.725359575,137,5,81.95833333,37,2011
2011-05-17,318.75,3730.0,5.5,60.71428571,1.0,3.322580645,5.144413844123939,11.11058639,1.062767904,4.099551022,7.828753407,,0.0,311.8745807,11.412496,13.42279,23.15,1.725359575,137,5,81.95833333,37,2011
2011-06-13,321.875,3322.5,24.21428571,54.71428571,1.322580645,5.387096774,5.618659526667155,20.44654678,5.097303577,2.698771677,16.97583415,,0.0,325.8526243,8.292643,8.295945,9.898969944,43.67731158,164,6,81.95833333,64,2011
2011-06-13,321.875,3322.5,24.21428571,54.71428571,1.322580645,5.387096774,5.618659526667155,20.44654678,5.097303577,2.698771677,16.97583415,,0.0,325.8526243,8.292643,8.295945,9.898969944,43.67731158,164,6,81.95833333,64,2011
2012-05-14,312.5,4294.166667,36.42857143,43.07142857,1.161290323,7.419354839,4.65027594242683,13.77989653,2.810158342,3.65593023,16.82875977,,0.0,306.418455,4.562221,6.860426,23.15,12.33790369,135,5,58.95833333,55,2012
2012-05-14,312.5,4294.166667,36.42857143,43.07142857,1.161290323,7.419354839,4.65027594242683,13.77989653,2.810158342,3.65593023,16.82875977,,0.0,306.418455,4.562221,6.860426,23.15,12.33790369,135,5,58.95833333,55,2012
2012-06-11,334.375,3949.166667,47.5,34.14285714,0.258064516,1.967741935,4.325837847607019,20.01801195,8.466352874,5.796928197,23.79876099,,6.378000083,304.4250027,1.525729,2.713483,17.87147088,11.57838874,163,6,58.95833333,83,2012
2012-06-11,334.375,3949.166667,47.5,34.14285714,0.258064516,1.967741935,4.325837847607019,20.01801195,8.466352874,5.796928197,23.79876099,,6.378000083,304.4250027,1.525729,2.713483,17.87147088,11.57838874,163,6,58.95833333,83,2012
2012-07-10,275.0,3170.833333,78.92857143,0.0,0.0,0.0,5.255663004758303,26.79979502,15.16567978,3.061819148,25.0516716,,0.0,321.6867092,0.305786,0.108516,12.59209877,124.253972,192,7,58.95833333,112,2012
2012-07-10,275.0,3170.833333,78.92857143,0.0,0.0,0.0,5.255663004758303,26.79979502,15.16567978,3.061819148,25.0516716,,0.0,321.6867092,0.305786,0.108516,12.59209877,124.253972,192,7,58.95833333,112,2012
2012-08-06,243.75,3115.0,102.8571429,0.0,0.0,0.0,5.739636805423717,25.66008201,13.89274881,2.976838926,22.74750799,,0.0023,277.9585802,0.397261,0.013195,12.5819125,124.2710579,219,8,58.95833333,139,2012
2012-08-06,243.75,3115.0,102.8571429,0.0,0.0,0.0,5.739636805423717,25.66008201,13.89274881,2.976838926,22.74750799,,0.0023,277.9585802,0.397261,0.013195,12.5819125,124.2710579,219,8,58.95833333,139,2012
