Date,month,U,SST,AirT,delT,Humidity,CC,swr(w/m2),Prec(mm/d),inflow(m3/s),Ice_d,days from iceoff,MLD,thermD,W,NOX(mmole/m3),O2(mmole/m3),NH4(mmole/m3),PO4(mmole/m3),TotP(mmole/m3),Si(mmole/m3),Chl(mg/m3)
2017-04-01,4,4.782291666666668,2.82469,4.5225,-0.1070199999999998,99.12916666666666,0.8875000000000001,230.2,0.1,0.935,86,0.0,-21.0,-15.0,0.0319230762443297,5.7058304092433945,409.69838258794846,0.630729335756641,0.47560026236964476,1.1308198246815306,45.316497459160985,4.786399955701074
2017-04-02,4,4.259083333333334,2.514355,6.027083333333333,-0.3429349999999997,91.2791666666667,0.8874999999999997,448.4,0.0,0.9,86,1.0,-21.0,-15.0,0.0023153115138013,6.855558895822304,412.4952528942458,0.625405911574282,0.5011650282161144,1.1785845169780949,45.75829553075042,4.786399955701074
2017-04-03,4,3.159833333333333,2.807045,2.3866666666666667,-0.071285,89.125,0.8500000000000002,545.3,0.0,0.866,86,2.0,-21.0,-15.0,0.0046872475933892,6.861971104281203,413.1077787728652,0.6230671614722111,0.5072012002733186,1.192758428331566,47.39321195625467,4.821117022608963
2017-04-04,4,6.033708333333333,3.169875,6.716249999999999,0.047085,73.96666666666665,0.9041666666666668,607.0,0.0,0.858,86,3.0,-21.0,-15.0,0.0,6.48410604239942,417.98379329538204,0.6198115808507358,0.4713617282491205,1.2062242190470622,47.574894922561846,5.1241251880632
2017-04-05,4,5.979333333333333,3.59077,6.555833333333335,0.0566900000000001,74.50833333333331,0.6625,543.0,0.5,0.85,86,4.0,-21.0,-15.0,0.0007243758994759,5.964073770189329,421.41463249756646,0.6206470513374717,0.4780606259307361,1.2071523001266447,47.770700444600266,5.305930087335743
2017-04-06,4,4.416041666666667,3.67054,4.458750000000001,-0.0050400000000001,74.50833333333334,0.5125000000000001,591.0,0.0,0.8140000000000001,86,5.0,-21.0,-15.0,0.0,5.822155710712562,419.52444019556714,0.6207799807936132,0.47359374591847225,1.2016477860270047,47.52626462867547,5.442306345274996
2017-04-07,4,2.885291666666667,3.917,3.762916666666667,0.1139999999999998,77.41666666666667,0.9041666666666668,609.6,0.0,0.771,86,6.0,-21.0,-15.0,0.0,5.85682367994795,420.59174049932756,0.6205037295349907,0.45392759964805046,1.2076848235670699,48.06060215255699,5.5770362620198
2017-04-08,4,1.7359583333333333,4.009666666666667,3.102499999999999,0.1636666666666668,76.10833333333333,1.0,334.7,0.1,0.726,86,7.0,-21.0,-15.0,0.0100594062703056,5.379218416905611,425.53735579940764,0.6226784473187085,0.4532843430924945,1.2214295131015702,49.07967036253058,5.859052485253151
2017-04-09,4,4.054833333333334,4.0865,6.524166666666666,0.1484999999999998,78.07916666666667,0.9875000000000002,614.7,0.0,0.685,86,8.0,-21.0,-15.0,0.0138772987210879,4.5517058680039835,432.3850720876258,0.6230546138877323,0.4275732639969702,1.2048085886347184,49.86551886215863,6.445411700560894
2017-04-10,4,6.275333333333335,4.4815,7.680416666666666,0.0974999999999992,84.59166666666665,0.7750000000000002,249.0,1.1999999999999995,0.645,86,9.0,-21.0,-15.0,0.0030151669244477,3.734347724093928,438.5118847049475,0.6292551655540372,0.4195573620732036,1.2026133071731755,49.45397756640008,7.607755129101098
