Date	delT	U	Air P	Air T	RelHum	CC	SWR	Prec	inflow(m3/s)	outflow(m3/s)	MLD	W	thermD	TotN	TotP	Chl
2007-01-02	0.006295681	13.0154444332	1014.7	6.4	81.3	0.625	0.0	2.6	5.28176621926217	8.83833110149567	43.511112213134766	0.0234937546646954	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-03	0.0018320084	10.9062222128	1015.9	11.3	93.8	1.0	0.0	0.0	14.66070662067686	8.53765008128087	43.511112213134766	0.0	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-04	0.004876137	10.803333324	1001.2	8.5	86.9	0.875	0.0	0.2	4.223394301665394	9.86845168738809	43.511112213134766	0.0043751973091125	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-05	0.0030226707	8.1282222152	1007.4	10.0	91.5	1.0	0.0	0.0	9.516208122473827	8.59246926125866	43.511112213134766	0.0	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-06	0.000118255615	6.3791111056	1007.5	8.4	86.8	0.375	0.0	0.1	5.015504043862629	7.191066088868	43.511112213134766	0.0064384118082528	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-07	0.0008788109	5.2987777732	997.6	9.4	92.6	0.875	0.0	1.2	13.7918741394732	8.8556119901648	43.511112213134766	0.0163339410889782	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-08	0.007872105	3.601111108	993.3	5.4	87.1	0.25	0.0	0.0	22.0827087263892	11.9942037427685	43.511112213134766	0.0775281817979072	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-09	0.0003809929	13.4784444328	978.9	11.2	94.9	1.0	0.0	0.4	16.82738916534754	16.8878382603602	43.511112213134766	0.0090546070719554	43.5111	0.1317022293806076	7.726170539855957	0.7012922167778015
2007-01-10	0.0059690475	4.2184444408	996.7	6.7	76.9	0.75	0.0	0.0	3.425205897593314	11.1698948506085	43.511112213134766	0.0627363218416284	43.5111	0.11534539610147476	8.17424201965332	0.7895591855049133
2007-01-11	0.0015087128	12.8611111	991.5	10.2	94.8	1.0	0.0	1.0	0.0	12.8846413537874	43.511112213134766	0.0061480334245763	43.5111	0.1114281415939331	8.1579008102417	0.7104408144950867
2007-01-12	0.0015072823	6.3276666612	1011.5	7.9	87.6	1.0	0.0	0.9	0.0	10.6688462798414	43.511112213134766	0.0062337775236918	43.5111	0.14009718596935272	8.246370315551758	0.644325852394104
2007-01-13	0.009722233	1.800555554	1010.9	9.1	82.9	1.0	0.0	0.0	0.0	9.86913839151653	43.511112213134766	0.0290403612295724	43.5111	0.15127655863761902	8.344966888427734	0.5569776892662048
