Date	AirP	AirT	RelHum	SWR	Prec	CC	U	delT	inflow(m3/s)	outflow(m3/s)	Ice_d	days from iceoff	W	MLD	thermD	NO3N	NH4N	O2	PO4P	TOC	SiO2	TOTN	TOTP	chl-a
1994-03-01	1018.419	-9.955431	70.28941065079343	55.50429	0.8302718	0.4586922	3.483175598557299	0.25620631575	1.3343095	0.6185185	149	-54.0	2.724397891312864	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-02	1012.08	-8.83593	81.22372445633985	54.56624	1.53	0.8548672	3.226720646811713	0.25618343175	1.3195894999999995	0.6062963	149	-53.0	2.191399115567479	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-03	1002.86	-4.911451	88.72772986223086	107.7292	0.4230388	0.9937544	1.8461462270867488	0.256236926	1.3052775	0.5944445	149	-52.0	4.483183415693487	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-04	1005.375	-2.776745	91.19458048171924	134.2516	0.0007839686	0.7084594	0.8420082238656165	0.2562012495	1.289619	0.5825925	149	-51.0	254.546564784322	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-05	997.0792	2.236131	92.61766779449658	80.39046	0.3386876	1.000008	7.1071129878512	0.2561801795	5.335259	2.31	149	-50.0	0.0	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-06	986.5085	2.230633	81.73795040547232	153.8604	0.01171719	0.4410771	4.222196468436423	0.25613388275	9.168563	5.462593	149	-49.0	2.949111551594368	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-07	983.8359	2.079901	87.19005982463489	123.2606	0.07120956	0.5639619	0.7152979806091517	0.25589611575	9.982226999999998	7.217407	149	-48.0	0.0	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-08	986.3275	2.810236	93.42571460894244	95.52922	0.9880626	0.8522922	4.826866042459641	0.2556999097499999	11.1950535	7.922222	149	-47.0	9.719531096963388	19.0	19.0	748.8712158203125	9.498289108276367	12.831825256347656	11.832374572753906	7.776435852050781	4.142416000366211	1193.4771728515625	29.339553833007812	9.420528411865234
1994-03-09	989.4437	3.155877	75.92452164011117	139.8741	0.02457742	0.07307479	4.33904387398353	0.255466288	12.661041	8.709259	149	-46.0	2.8242895149406984	19.0	19.0	745.73095703125	10.021369934082031	12.915151596069336	11.809218406677246	7.797887325286865	4.147326469421387	1200.221923828125	29.25975227355957	9.41621208190918
1994-03-10	992.1476	2.72314	68.00921524678081	149.9982	0.01701374	0.4799454	4.433661415198617	0.2550825985	13.7126225	9.281852	149	-45.0	1.622841962248747	19.0	19.0	742.4662475585938	10.52404499053955	13.063993453979492	11.425326347351074	7.840777397155762	4.125272274017334	1203.3311767578125	29.172344207763672	9.414819717407227
