Date	delT	U	CC	SWR	Hum	Prec	AirT	AirP	Ice_d	days from iceoff date	MLD	W	thermD	NO3	SRP	TotP	NH4	Chl
2004-04-02	-0.048591614	8.5049625	0.3416666666666666	224.9254861111112	36.88805555555555	0.0	8.300694444444444	1019.5314930555556	56.0	31.0	-5.25	0.0068340502260699	-5.0	0.0	3.0	76.0	0.01	27.0
2004-04-03	-0.0034046173	3.9830625	0.5375	227.79861111111111	54.56017361111111	0.0458333333333333	8.975451388888889	1019.3857638888888	56.0	32.0	-5.25	0.0005662912508769	-0.25	0.0	3.0	76.0	0.01	27.0
2004-04-04	-0.002254486	3.4989375000000003	0.6354166666666666	230.6624305555556	72.03767361111112	0.0958333333333333	9.247326388888888	1016.6524305555556	56.0	33.0	-5.25	0.0032769648866675	-0.25	0.0	3.0	76.0	0.01	27.0
2004-04-05	-0.0036878586	3.7684875	0.6770833333333334	233.5157986111111	69.83347222222223	0.0124999999999999	7.908888888888889	1009.6472916666668	56.0	34.0	-5.25	0.0024570252514314	-0.25	0.0	3.0	76.0	0.01	27.0
2004-04-06	-0.0033245087	4.629075	0.71875	236.35399305555555	78.24319444444444	0.1166666666666666	5.575277777777778	1000.2064930555556	56.0	35.0	-5.25	0.0014209222664987	-0.25	0.6250295042991638	13.82420825958252	53.498207092285156	0.036654114723205566	17.042827606201172
2004-04-07	-0.0025186539	3.236925	0.6854166666666667	239.1870486111111	73.11822916666667	0.0041666666666666	5.963854166666667	1003.3210763888889	56.0	36.0	-5.25	0.0009530719672327	-0.25	0.6250295042991638	13.82420825958252	53.498207092285156	0.036654114723205566	17.042827606201172
2004-04-08	-0.0039405823	1.9510193181818185	0.7083333333333334	242.17333017676768	73.35221275252525	0.0041666666666666	5.2756944444444445	1007.898952020202	56.0	37.0	-5.25	0.0069489630641534	-0.25	0.6250295042991638	13.82420825958252	53.498207092285156	0.036654114723205566	17.042827606201172
2004-04-09	-0.0002975464	3.2066625	0.5979166666666667	244.80184027777776	81.45701388888888	0.2166666666666666	5.970243055555556	1011.1562847222222	56.0	38.0	-5.25	0.0007941482217584	-0.25	0.6250295042991638	13.82420825958252	53.498207092285156	0.036654114723205566	17.042827606201172
2004-04-10	-0.0024003983	2.6347125000000005	0.5104166666666666	247.58888888888887	80.9553125	0.0208333333333333	5.417430555555556	1011.0674652777778	56.0	39.0	-5.25	0.0013669839481186	-0.25	0.6964243054389954	13.93580436706543	55.59055709838867	0.032348692417144775	25.373340606689453
2004-04-11	0.011640549	1.8789	0.1458333333333333	250.36392361111112	57.64704861111111	0.0	6.244375000000001	1017.8364930555556	56.0	40.0	-5.25	0.0593214211469055	-0.25	0.5813114047050476	11.554335594177246	54.096961975097656	0.02610292285680771	29.487714767456055
2004-04-12	0.016137123	1.9404375	0.7708333333333334	253.11819444444447	73.05486111111111	0.0	6.609027777777778	1022.6561458333334	56.0	41.0	-5.25	0.0253756884072209	-0.25	0.5354588031768799	9.057761192321777	53.0866813659668	0.02062368392944336	26.971281051635742
2004-04-13	0.018447876	1.5876375000000005	0.6749999999999999	255.85111111111112	66.24010416666667	0.0	7.7295486111111105	1021.9974305555556	56.0	42.0	-5.25	0.089033542887336	-0.25	0.46409159898757935	5.497474193572998	51.167911529541016	0.015680843964219093	24.04775619506836
