Date,NO3N,O2,PO4P,TOTP,TOTN,SiO2,NH4N,chl-a
2012-03-01,564.2621703841396,11.652642176586415,8.039474776417352,27.322347827125665,1030.9009103129076,3.481419887636248,11.971803702852226,5.3324751836932
2012-03-02,564.1440671100424,11.660652295256412,8.058031942092502,27.421694126324212,1026.932353005535,3.4792587490097437,11.950741687416905,5.3891019647929195
2012-03-03,564.0432359578858,11.660328923459943,8.076709575781532,27.544323651570497,1024.9299421031612,3.477495386991371,11.917269574754165,5.450111851462502
2012-03-04,563.9557115573851,11.653788016677876,8.095832353887191,27.668272908234183,1023.5803520350811,3.4739812276458384,11.877970990845999,5.515962819045686
2012-03-05,563.8786318770243,11.644713882000316,8.114320787211764,27.78550462255118,1022.6506470614611,3.4696428571914497,11.840988773559719,5.574852650023807
2012-03-06,563.8097704087014,11.63564571385677,8.129828779581116,27.89307691827155,1021.9053059009433,3.4649925825100705,11.806292262176575,5.630900554674208
2012-03-07,563.7475280815268,11.626895072082604,8.141042542319227,27.983353691876072,1021.3551752799483,3.459954343590863,11.781020421166115,5.6838047954267115
2012-03-08,563.583717157905,11.611634396648736,8.169138642283102,28.19440868474349,1019.1760795410684,3.4494597404004317,11.724078021883626,5.806833553737226
2012-03-09,563.4208972476683,11.58827677600648,8.193620772766378,28.40806270639308,1018.1862497161036,3.435930809328538,11.668787521155384,5.94034549892231
2012-03-10,563.2537578586341,11.560748159363728,8.211104020708179,28.596764542683285,1017.5079928468501,3.4185183483318555,11.623954287738083,6.0788175346475555
2012-03-11,563.0779071655343,11.533439340345492,8.218242043995685,28.747621546168563,1017.0334317271369,3.398589220160663,11.595384455071057,6.21120248050607
2012-03-12,562.8895916592417,11.507841764505088,8.212456200436874,28.85298940907566,1016.7316725700015,3.376617195496615,11.58208096392801,6.341230380286107
2012-03-13,562.6860314293448,11.482956948819025,8.196305192954961,28.909448072406544,1016.7508611052732,3.3531797061702693,11.587337822447834,6.460709864845513
2012-03-14,562.465067428201,11.459372313781689,8.172953806045166,28.93460200649191,1016.8418391643173,3.3282793390200447,11.592274847686168,6.568561185156052
2012-03-15,562.2572983028984,11.4394830328333,8.135812746934217,28.895705715173673,1017.3880944144494,3.3030544971268383,11.602961433696631,6.649255385841834
2012-03-16,562.0636997700059,11.42635465170434,8.088416144624627,28.802824425251355,1017.916348920782,3.2788883537710336,11.611330520647362,6.701463471722492
2012-03-17,561.8862536569036,11.419971907829154,8.03679965256803,28.679248404338665,1018.456211210097,3.2566739244202685,11.61562928205711,6.727335829250145
2012-03-18,561.7273286142632,11.417931319041008,7.986230291164565,28.545079285728985,1019.1723584205653,3.236607986858957,11.610074528416707,6.740738946878251
2012-03-19,561.5889491956797,11.418682158309906,7.941786873805375,28.418439213567552,1019.9207344847163,3.2180523195158477,11.595372251160779,6.750544155213349
2012-03-20,561.4711309667571,11.421884036531226,7.903319236207089,28.314316759940105,1020.6838892620968,3.1998737200630103,11.559973358644964,6.769016964722802
2012-03-21,561.3719128188295,11.426197723990626,7.874174355344574,28.229341770436235,1021.9186994888348,3.1844359856233106,11.515877785213645,6.798019332685192
2012-03-22,561.2792354952591,11.430553202206188,7.862176604875091,28.17955566484451,1023.712082044791,3.1741243223136375,11.465640094351608,6.836603097647598
2012-03-23,561.181301418531,11.432701878441438,7.865732643871847,28.162402001464184,1026.1270524309293,3.168613379051203,11.416442068002153,6.880141272544779
2012-03-24,561.0679917817603,11.432145210924407,7.881818585041993,28.174269113005998,1029.3020089368163,3.1694761079599365,11.365318598788722,6.927025999670091
2012-03-25,560.9324344839855,11.428672162401112,7.907607950509347,28.215549839005465,1033.0933668276655,3.1768143271539055,11.3182471844595,6.96796382961837
2012-03-26,560.7730705253687,11.421060855380585,7.943063131004998,28.288626165416154,1037.4883022387894,3.1918677044993613,11.263492704681363,6.98854408836032
2012-03-27,560.5965985660414,11.409588046614541,7.987999320696341,28.386122572572397,1042.0758473304104,3.215102993441891,11.215324550961144,6.98426383200471
2012-03-28,560.4180754941641,11.394125073184798,8.0351637415958,28.498680276427717,1046.3334552479496,3.2432287612763857,11.177015489403,6.955565015148863
2012-03-29,560.2615645300425,11.375380996012,8.075173878242316,28.609984381227065,1049.9107735701364,3.271870201094966,11.148720849533154,6.902652853152152
2012-03-30,560.1565009169365,11.35521268840761,8.106909901400726,28.716707350222276,1052.773104247867,3.2986820750440313,11.12306567880958,6.84044233329455
2012-03-31,560.1328940741396,11.33401577193358,8.128613152282677,28.810880037443305,1054.542068557604,3.3195495284926015,11.104863969165823,6.778856758139812
2012-04-01,560.2164573185145,11.313198422010945,8.138929570647834,28.881363822851306,1054.9054423217656,3.332015540145617,11.08512866719242,6.7279228279146395
2012-04-02,560.4232902329246,11.295256447945816,8.131316015991771,28.90772140687154,1053.9038187738483,3.333299912857315,11.07450158791076,6.702560762663078
