depths	areas
0	39850000
1	36000000
2	34000000
3	32100000
4	30300000
5	28700000
6	27800000
7	27000000
8	26000000
9	25000000
10	24000000
11	22700000
12	21100000
13	19900000
14	18400000
15	17600000
16	16400000
17	15200000
18	13700000
19	11300000
20	8600000
21	5900000
22	3500000
23	1600000
24	100000
25	0
