Date,O2,CAR_dic,Si,N_Nit,PO4,N_Amm,Chl,SST,delT,U,AirT,CC,Prec,swr,inflow,outflow,MLD,W,doy,month,Ice_d,days_from_iceoff,MM
1999-08-02,234.375,3434.1666666666665,49.642857142857146,0.0,0.0,0.0,16.8,27.628910335753545,15.638190489378134,2.7911503538333333,20.07542444875,,0.0,278.6198344617083,7.894612,7.904082,9.780344806688737,21.188210679892165,214,8,98.95833333333331,112,8
1999-08-30,259.375,3518.333333333333,58.21428571428572,0.0,0.0967741935483871,0.0,11.0,23.327982964105477,11.30492403710056,3.6772224029166662,13.662922160416668,,0.0,236.26029268458333,5.12608,5.550234,9.770045625990814,9.062603063570812,242,8,98.95833333333331,140,8
1999-09-27,268.75,3616.6666666666665,48.92857142857143,0.0,0.8064516129032258,1.4193548387096775,12.3,16.940371016153325,4.819836778695343,4.079036476333333,12.28251419,,22.171999916666667,40.50258324516667,2.878626,2.139797,12.693387507236409,19.636586390665315,270,9,98.95833333333331,168,9
1999-10-26,359.375,3926.6666666666665,2.607142857142857,4.0,3.096774193548387,12.580645161290322,11.1,10.783890621330158,0.0425428982120372,3.498470998041667,6.9308448795,,0.0,137.66054375583334,1.993531,1.516194,25.0,0.0,299,10,98.95833333333331,197,10
1999-11-22,331.25,3994.1666666666665,9.464285714285714,7.0,3.129032258064516,17.35483870967742,4.4,7.39846869961665,0.1340597972787458,2.5280257511666666,6.640842691875,,0.0,89.58070818541667,1.995561,0.815202,25.0,0.0,326,11,98.95833333333331,224,11
2000-03-13,409.375,3947.5,36.07142857142857,26.928571428571427,2.870967741935484,15.580645161290322,2.9,0.3655901361514115,-3.136721649625932,2.427142325708333,4.0900029499583335,,0.9287,92.88974984458332,5.643856,4.7413,0.65,0.0073263812704678,73,3,78.0,-20,3
2000-04-10,406.25,4033.3333333333335,0.0,33.357142857142854,1.7096774193548387,7.290322580645161,9.3,4.794680340808672,0.0,4.233444583083333,3.030418650416667,,0.9188,171.96695725291667,4.467845,3.687625,25.0,0.0,101,4,78.0,8,4
2000-05-09,315.625,3987.5,8.571428571428571,33.142857142857146,0.9032258064516128,6.193548387096774,1.9,13.166435186014644,5.595237691716736,4.8461039975833335,13.173338826333334,,10.016799958333332,95.45308270591669,3.157959,4.989815,12.480049833251703,2.7239118554385366,130,5,78.0,37,5
2000-06-06,293.75,3756.6666666666665,27.607142857142858,36.0,2.2580645161290325,7.870967741935484,2.3,17.295090112888854,9.600816261775543,2.044966007833333,15.322085316791666,,0.0248,328.2313714008333,54.337741,49.435608,16.335612362323545,54.377084873254525,158,6,78.0,65,6
2000-07-03,268.75,3623.3333333333335,36.07142857142857,30.571428571428573,1.5806451612903225,0.0,4.1,22.71655587140723,15.174671287733815,3.087297517208333,21.47500381375,,0.0204,318.0364155725,20.327559,25.470301,14.97639033247166,34.83801962733994,185,7,78.0,92,7
