Date,month,U,SST,AirT,delT,Humidity,CC,swr(w/m2),Prec(mm/d),inflow(m3/s),Ice_d,days from iceoff,MLD,thermD,W,NOX(mmole/m3),O2(mmole/m3),NH4(mmole/m3),PO4(mmole/m3),TotP(mmole/m3),Si(mmole/m3),Chl(mg/m3)
2017-04-01,4,4.782291666666668,2.82469,4.5225,-0.1070199999999998,99.12916666666666,0.8875000000000001,230.2,0.1,0.935,86,0.0,-21.0,-15.0,0.0319230762443297,7.871261903750047,411.3785386748233,0.6059739959596027,0.6435008405786905,1.1702451650885606,48.45856638962505,4.795975845982679
2017-04-02,4,4.259083333333334,2.514355,6.027083333333333,-0.3429349999999997,91.2791666666667,0.8874999999999997,448.4,0.0,0.9,86,1.0,-21.0,-15.0,0.0023153115138013,9.834389132005276,422.8116061494736,0.5952348775854216,0.6936728543064354,1.2027552300633872,50.95174541350379,5.799249317634816
2017-04-03,4,3.159833333333333,2.807045,2.3866666666666667,-0.071285,89.125,0.8500000000000002,545.3,0.0,0.866,86,2.0,-21.0,-15.0,0.0046872475933892,10.032898890069815,421.8048355626751,0.5860509285355333,0.6840798755102108,1.2041877203911318,52.28797308163419,6.084235713183513
2017-04-04,4,6.033708333333333,3.169875,6.716249999999999,0.047085,73.96666666666665,0.9041666666666668,607.0,0.0,0.858,86,3.0,-21.0,-15.0,0.0,8.442549759902905,425.25611287931883,0.5889930444555243,0.6122585904465799,1.2088013320018902,52.1828313003028,6.314322304141189
2017-04-05,4,5.979333333333333,3.59077,6.555833333333335,0.0566900000000001,74.50833333333331,0.6625,543.0,0.5,0.85,86,4.0,-21.0,-15.0,0.0007243758994759,7.266366576660388,427.1216915168874,0.5903194786695976,0.5800722017282697,1.2212440441609382,51.841069372182275,6.440498095076569
2017-04-06,4,4.416041666666667,3.67054,4.458750000000001,-0.0050400000000001,74.50833333333334,0.5125000000000001,591.0,0.0,0.8140000000000001,86,5.0,-21.0,-15.0,0.0,6.618777290505207,424.3376170404535,0.5898206463523094,0.5512255953109612,1.2108803403460953,51.21049593854857,6.480959479258401
2017-04-07,4,2.885291666666667,3.917,3.762916666666667,0.1139999999999998,77.41666666666667,0.9041666666666668,609.6,0.0,0.771,86,6.0,-21.0,-15.0,0.0,6.80701950144311,423.51663465494227,0.5865421933095218,0.5266807212959748,1.200201694207117,51.491175552804584,6.534272048013966
2017-04-08,4,1.7359583333333333,4.009666666666667,3.102499999999999,0.1636666666666668,76.10833333333333,1.0,334.7,0.1,0.726,86,7.0,-21.0,-15.0,0.0100594062703056,6.065635773905535,427.06718436800935,0.5843789797908939,0.5008041648670503,1.2062753452306347,52.34368451817074,6.921578292274353
2017-04-09,4,4.054833333333334,4.0865,6.524166666666666,0.1484999999999998,78.07916666666667,0.9875000000000002,614.7,0.0,0.685,86,8.0,-21.0,-15.0,0.0138772987210879,4.6874750884772265,431.9684137078921,0.5866680388744717,0.44424114442189094,1.2002588731763957,52.15554641804363,7.166348175298993
2017-04-10,4,6.275333333333335,4.4815,7.680416666666666,0.0974999999999992,84.59166666666665,0.7750000000000002,249.0,1.1999999999999995,0.645,86,9.0,-21.0,-15.0,0.0030151669244477,3.227685978968353,438.85569216557394,0.5940269283359181,0.4095200748246733,1.2069311919546408,51.03576196932271,7.745647860897754
2017-04-11,4,5.8300416666666655,4.563833333333334,4.36,0.0998333333333336,71.02083333333334,0.6625,339.6,0.0,0.609,86,10.0,-21.0,-15.0,0.0014061154273809,3.053190773064997,439.74895508688957,0.6004241557599542,0.4063484005362433,1.2080411925031969,50.94280510931328,8.549887930686998
