Date,delT,U,AirT,AirP,Hum,Prec,SWR,inflow,outflow,MLD,W,thermD,Ice_d,days from iceoff,NO3,O2,NO2,TOTN,PO4,TOTP,NH4,Chl
2017-03-01,7.875846e-06,3.668990609634657,4.3694444444444445,99208.78472222223,83.23055555555555,0.0833333333333333,124.70801767676768,27.0815936478838,28.8,6.050806522369385,4.213155803436086e-05,6.0508,126,-26.0,0.9523274802739948,10.292677340681276,0.01252667679269331,1.3317635704043516,15.805410606477151,34.271646753190744,0.18143364113134217,5.060812843734702
2017-03-02,1.7677317e-05,4.449579135940702,2.7847853535353533,99499.53914141416,80.42427398989899,0.0,142.92203282828282,38.10801600555187,29.7,6.050806522369385,7.891420136484224e-05,6.0508,126,-25.0,0.9971663841259819,10.20357598142036,0.013037154829563259,1.3313062917464908,15.741271895293526,34.437237657642626,0.18103037370535935,4.23842346604175
2017-03-03,1.4180609e-05,3.717591788177049,1.5940340909090909,99667.0265151515,84.53945707070707,0.0458333333333333,134.24905303030303,39.03023968624108,30.7,6.050806522369385,3.84606324597508e-05,6.0508,126,-24.0,1.0257008739430191,10.21445542198237,0.012890917983094734,1.3307270004923126,15.825137150694852,35.25704871622959,0.18700703954690803,4.445238631679678
2017-03-04,8.0958125e-06,3.1001177984991206,1.4545138888888889,100204.0625,85.04513888888889,0.1583333333333333,141.6679292929293,42.264483933539054,31.8,6.050806522369385,4.292376528813628e-05,6.0508,126,-23.0,1.0371829745890278,10.234973666159375,0.012616576026369402,1.3310674055516099,15.850834401721702,35.9123983247213,0.19015876639501203,4.28999900066132
2017-03-05,9.14908e-06,3.723965713231789,-2.0034722222222223,100723.125,68.02291666666666,0.0,77.81597222222221,47.94507930207459,32.4,6.050806522369385,0.0002598469192162,6.0508,126,-22.0,1.0491976672808556,10.241614551911407,0.015592729103559268,1.348483357357685,16.045205749031428,36.176451709927484,0.1827975490956662,3.9248496942646427
2017-03-06,4.435773e-06,4.1916524641233295,-2.571875,101003.36805555556,59.62083333333334,0.0541666666666666,54.34248737373738,44.40402703864343,32.3,6.050806522369385,0.0001446812065612,6.0508,126,-21.0,1.05392026800712,10.2199538359147,0.015545033149593693,1.3597491653440248,16.121747316474238,36.35545175738997,0.17634547306582604,3.9675819273249515
2017-03-07,7.872703e-06,3.023884206225101,-1.918371212121212,100833.74053030304,79.72544191919192,0.0541666666666666,53.68150252525252,34.86397898209415,32.0,6.050806522369385,7.508089913752616e-05,6.0508,126,-20.0,1.0502654060243766,10.248969035642864,0.015127319952213036,1.3677199706945486,16.075707226904512,36.658646975466915,0.1749570436875795,3.9317890650420613
2017-03-08,1.471641e-05,5.606265455959666,1.3791666666666669,101550.17361111112,71.07083333333334,0.0,75.55208333333333,28.42890529540902,31.9,6.050806522369385,0.0002398505363382,6.0508,126,-19.0,1.0603869741918313,10.252707668934201,0.015410260873778546,1.379291512697644,16.12653257828534,37.119669099858434,0.1732274308626937,3.578409268111532
2017-03-09,1.2946679e-05,2.0838751225840277,2.542708333333333,101450.3125,64.22812499999999,0.0,57.19444444444445,24.434787691854687,30.7,6.050806522369385,2.1712092565874987e-05,6.0508,126,-18.0,1.0600255429712304,10.293146896104474,0.013666204852595181,1.3907151740814014,16.13012140334384,37.27510600598862,0.1708366870461522,3.799795294500963
2017-03-10,7.5279095e-06,1.002698085173771,1.054861111111111,101042.08333333331,81.29791666666667,0.0,58.32386363636363,23.45335557044972,29.7,6.050806522369385,0.0002778211324293,6.0508,126,-17.0,1.0492632024004476,10.296478639300819,0.01364618693577927,1.4104790651857582,16.101201567387665,37.60206751835018,0.1701075649566977,3.391468061125374
