Date	O2	PO4	TOTP	NO3	NH4	NO2	TOTN	Chl	delT	U	AirT	AirP	Hum	Prec	SWR	inflow	outflow	MLD	W	thermD	Ice_d	days from iceoff	MM
2008-04-15	12.45	14	32	1.4	0.02	0.01	2.0	24.20925	0.004085541	5.158333333333333	7.366666666666667	101837.91666666667	67.70833333333333	0.0	149.1898148148148	65.66064588008867	39.4	6.050806522369385	3.4925448010653195e-05	6.0508	145	10.0	4
2008-05-20	11.95	2	34	0.52	0.02	0.01	1.5	47.6465	0.0006246567	3.5500000000000003	8.291666666666666	101703.75	78.875	0.025000000000000005	179.05092592592595	13.597763334777897	44	6.050806522369385	8.365996943362717e-05	6.0508	145	45.0	5
2008-06-17	10.1	12	39	0.05	0.02	0.003	0.97	59.2615	0.19078064	6.1875	14.262500000000001	100770.41666666667	80.75	0.6333333333333333	145.48611111111111	7.620411042483191	37.5	6.050806522369385	0.054178262190599145	1.6247	145	73.0	6
2008-07-15	9.1	10	46	0.01	0.07300000000000001	0.003	1.1	52.732	0.00019264221	6.570833333333333	17.0125	101315.83333333333	78.45833333333333	0.008333333333333333	260.9953703703704	9.633816379768689	31	6.050806522369385	8.309699109743588e-05	6.0508	145	101.0	7
2008-08-12	9.35	17	52	0.02	0.02	0.003	1.1	55.6985	0.0039463043	6.033333333333334	19.466666666666665	100676.25	79.70833333333333	0.016666666666666666	217.9398148148148	13.956826295505195	28	6.050806522369385	0.00027618772236143825	6.0508	145	129.0	8
2008-09-16	11.2	30	49	0.01	0.02	0.003	1.2	75.059	0.005982399	3.9916666666666667	5.575	102830.0	86.04166666666667	0.0	42.01388888888889	26.07064887140111	2.5	6.050806522369385	0.00040565139848167207	6.0508	145	164.0	9
2008-10-14	11.6	30	50	0.01	0.02	0.003	1.1	79.6115	0.0011434555	8.237499999999999	11.304166666666667	100382.91666666667	89.125	0.049999999999999996	45.486111111111114	15.719955942671852	23.9	6.050806522369385	2.275095195790926e-05	6.0508	145	192.0	10
2008-11-18	13.55	28	66	0.3	0.11	0.01	1.2	63.0925	0.009313583	9.491666666666667	-0.8083333333333332	100774.58333333333	82.20833333333333	0.07596127840232648	28.35648148148148	54.10868382739341	25	6.050806522369385	1.9894941616689134e-05	6.0508	145	227.0	11
2008-12-17	15.5	7	45	0.6	0.22	0.01	1.8	35.45094	8.8022556e-05	6.458333333333333	-3.5833333333333335	102119.16666666667	92.70833333333333	0.07596127840232648	4.74537037037037	35.52157421753208	30.9	6.050806522369385	0.00015038997216401814	6.0508	145	256.0	12
2009-01-20	10.3	16	38	1.8	0.13	0.02	2.5	6.65175	1.7849961e-06	6.666666666666667	-3.2624999999999997	100835.83333333333	92.04166666666667	0.07596127840232648	8.333333333333334	22.526885764931333	36.2	6.050806522369385	4.708665524696305e-05	6.0508	147	-89.0	1
2009-02-17	9.9	10	36	1.8	0.13	0.01	2.0	9.0345	7.7905133e-07	6.25	-6.3125	101905.0	90.66666666666667	0.07596127840232648	46.18055555555555	13.172309210687226	44.6	6.050806522369385	0.00011460406754247965	6.0508	147	-61.0	2
2009-03-10	9.0	22	41	1.1	0.18	0.02	1.7	5.126	6.4168125e-07	4.820833333333334	0.22916666666666666	99696.66666666667	93.20833333333333	0.07596127840232648	57.870370370370374	14.04402383439855	44.6	6.050806522369385	7.626236073919654e-05	6.0508	147	-40.0	3
2009-04-07	9.3	32	50	1.1	0.17	0.01	1.4	3.56575	0.0056545734	2.6416666666666666	2.4291666666666667	101737.91666666667	86.0	0.0	137.38425925925927	174.7398564411052	7.7	6.050806522369385	6.828039125278969e-05	6.0508	147	-12.0	4
2009-05-12	11.8	12	33	0.79	0.03	0.01	1.4	33.40575	0.07888031	5.675	9.695833333333333	101542.08333333333	59.125	0.0	232.63888888888889	12.324921449434186	46.8	6.050806522369385	0.0016956462964885816	6.0508	147	23.0	5
2009-06-09	11.5	24	39	0.01	0.03	0.003	1.1	57.395	0.028075218	5.508333333333333	13.504166666666668	101521.25	73.83333333333333	0.016666666666666666	238.6574074074074	32.21664332796273	38	6.050806522369385	0.0020886987151423697	6.0508	147	51.0	6
