Date	O2	CAR_dic	Si	N_Nit	PO4	N_Amm	Chl	SST	delT	U	AirT	Prec	swr	MLD	doy	month	W	Ice_d	days_from_iceoff	inflow	outflow	MM
1999-08-02	234.375	3434.166666666666	49.64285714285714	0.0	0.0	0.0	16.8	26.3	14.4	2.7911503538333333	20.07542444875	0.0	278.6198344617083	10.24210183917951	214	8	23.31857428841815	81	134	7.8946119999999995	7.904082000000001	8
1999-08-30	259.375	3518.333333333333	58.214285714285715	0.0	0.0967741935483871	0.0	11.0	22.2	10.4	3.6772224029166662	13.662922160416667	0.0	236.26029268458333	14.489723484117588	242	8	26.23266958452752	81	162	5.12608	5.550234	8
1999-09-27	268.75	3616.666666666666	48.92857142857143	0.0	0.8064516129032258	1.4193548387096775	12.3	17.9	5.899999999999999	4.079036476333333	12.28251419	22.17199991666667	40.502583245166676	15.64348782110153	270	9	11.750048060083747	81	190	2.8786259999999997	2.139797	9
1999-10-26	359.375	3926.666666666666	2.607142857142857	4.0	3.0967741935483866	12.580645161290322	11.1	11.5	0.09999999999999963	3.498470998041667	6.9308448795	0.0	137.66054375583334	25.0	299	10	0.0	81	219	1.9935310000000002	1.516194	10
1999-10-26	359.375	3926.666666666666	2.607142857142857	4.0	3.0967741935483866	12.580645161290322	7.7	11.5	0.09999999999999963	3.498470998041667	6.9308448795	0.0	137.66054375583334	25.0	299	10	0.0	81	219	1.9935310000000002	1.516194	10
1999-11-22	331.25	3994.166666666666	9.464285714285714	7.0	3.129032258064516	17.35483870967742	4.4	9.4	0.09999999999999963	2.5280257511666666	6.640842691875	0.0	89.58070818541668	25.0	326	11	0.0	81	246	1.9955610000000001	0.8152020000000001	11
2000-03-13	409.375	3947.5	36.07142857142857	26.92857142857143	2.870967741935484	15.580645161290322	2.9	3.0	0.10000000000000007	2.427142325708333	4.0900029499583335	0.9287	92.88974984458332	25.0	73	3	0.0	53	6	5.6438559999999995	4.7413	3
2000-03-13	409.375	3947.5	36.07142857142857	26.92857142857143	2.870967741935484	15.580645161290322	2.9	3.0	0.10000000000000007	2.427142325708333	4.0900029499583335	0.9287	92.88974984458332	25.0	73	3	0.0	53	6	5.6438559999999995	4.7413	3
2000-04-10	406.25	4033.333333333334	0.0	33.357142857142854	1.7096774193548387	7.290322580645161	10.1	5.7	0.10000000000000052	4.233444583083333	3.030418650416667	0.9188	171.96695725291667	25.0	101	4	0.0	53	34	4.467845	3.687625	4
2000-04-10	406.25	4033.333333333334	0.0	33.357142857142854	1.7096774193548387	7.290322580645161	9.3	5.7	0.10000000000000052	4.233444583083333	3.030418650416667	0.9188	171.96695725291667	25.0	101	4	0.0	53	34	4.467845	3.687625	4
2000-05-09	315.625	3987.5	8.571428571428571	33.142857142857146	0.9032258064516128	6.193548387096773	1.9	16.8	10.0	4.8461039975833335	13.173338826333337	10.016799958333333	95.45308270591669	6.482697092505172	130	5	1.464385611528264	53	63	3.157959	4.989815	5
2000-05-09	315.625	3987.5	8.571428571428571	33.142857142857146	0.9032258064516128	6.193548387096773	2.5	16.8	10.0	4.8461039975833335	13.173338826333337	10.016799958333333	95.45308270591669	6.482697092505172	130	5	1.464385611528264	53	63	3.157959	4.989815	5
2000-06-06	293.75	3756.666666666666	27.607142857142854	36.0	2.2580645161290325	7.870967741935483	2.3	15.7	5.6	2.044966007833333	15.322085316791663	0.024800000000000003	328.2313714008333	15.826114413558354	158	6	42.263308840128566	53	91	54.337741	49.435608	6
