Date,NOX,O2,PO4-P,Tot-P,NH4-N,Si,Chl
2010-03-01,1424.3826809051793,10.890061066775784,29.543372644989102,37.13125152466525,14.44468095230182,4.000284495474291,6.054017985943061
2010-03-02,1415.0239932116815,10.938419413745178,29.879780619493808,49.14350882416394,11.42501564599499,4.397198729891491,5.089270988624252
2010-03-03,1470.2070288207756,11.249211362093172,32.385586882482436,46.63564258654337,11.316681935442212,4.017826764356111,5.288776828965267
2010-03-04,1468.3043182862134,10.905272909595384,31.914669128659156,44.00981210057812,12.015988322712829,4.191844461474087,5.6933546015892365
2010-03-05,1331.6353138827908,10.824150717364557,28.948401651423097,49.83463640109569,11.624516661795818,4.24059907245712,5.538447834128902
2010-03-06,1320.2521392988747,10.697831807567862,28.1438226659181,44.660122137701265,11.620140166493067,3.735886053657646,5.813974493250232
2010-03-07,1374.398431997582,10.774089367374287,25.97797649594814,42.43900310574927,11.93673485202325,3.7300652374884016,5.780354287111574
2010-03-08,1393.517733667186,10.983260078297223,25.630776403138867,41.89010190890107,12.032638675172343,3.7246210422039954,5.772916687083604
2010-03-09,1395.1004054203518,10.872466330565805,27.804108751765728,44.845564965031876,11.550930760518108,3.971039992833003,5.807962704244508
2010-03-10,1374.7819830156761,10.861779392716537,26.9341959811946,44.402259642880125,11.89331765166978,3.7527328063550494,5.840887341941312
2010-03-11,1379.8078223410125,11.041566626048983,30.85071247039577,47.40618716213692,11.390839184706902,3.8853275900899433,5.470693535734713
2010-03-12,1371.8176255148492,11.034037868263393,28.718097122777767,50.375183641425814,11.429254656411473,4.283507183381723,5.396578774622475
2010-03-13,1512.3170699390964,11.121046553530794,28.04254938175261,45.27031347107123,11.365903639908888,3.9799762601959165,5.489277197890434
2010-03-14,1527.3304386527952,11.226422630531912,29.040730209673942,43.89686667189327,11.691124290138355,3.989206118132188,5.833324196292491
2010-03-15,1512.7003288414683,11.133674211047683,29.238632397231168,46.23981507587976,11.415827914842529,4.0453301638609735,5.474711025922768
2010-03-16,1522.7501267085645,11.126423495564758,26.954976636160033,44.893341326505,11.925937046653909,3.6726202382727635,5.718131125854403
2010-03-17,1475.084745746387,11.1782294443381,29.20242330495544,45.56518776476294,11.434997625376342,4.086516366697741,5.391569577606518
2010-03-18,1467.796414298615,11.095577725937494,31.378490094474447,42.80288095396155,13.335272652176327,4.010508158715416,5.480878363581776
2010-03-19,1345.4876567584774,11.051141778753367,31.77862505322712,50.36474603525384,11.790611437911759,4.311352611980255,5.282555118176029
2010-03-20,1444.2784134003282,11.238001563187806,29.065218107991925,46.10062565205906,11.25908658302091,4.294381471452511,5.641656299477001
2010-03-21,1323.6915482178936,11.132697576321757,32.70768120269724,52.28059443447613,13.840973808648984,4.443029668167002,5.2723106289568165
2010-03-22,1456.6711877789674,10.950253203182006,30.176634579852983,50.68723647089535,12.088146148340876,4.481857176807156,5.7007991025269975
2010-03-23,1422.911003544325,10.40032062643973,31.81744216105607,45.92628066063352,13.618932914214449,4.349914684789035,5.192907513377966
2010-03-24,1447.9942890821942,10.67767278232595,30.472754400268478,45.11823024136252,10.920046933307962,4.058463428852271,5.555383857850462
2010-03-25,1388.0243422667177,10.615354055265406,30.733022324869363,45.42486929609483,11.6315570047118,4.12671482313613,5.41207632785078
2010-03-26,1491.6046850393695,11.064175361937677,30.987314768798292,45.88648751658935,11.05831444922946,4.10143686236677,5.442013386871899
2010-03-27,1401.8551355377824,10.465700731407225,29.186134000240404,42.60637562180884,13.48429920467438,4.141251470361229,5.478919737763899
2010-03-28,1462.5799588814214,10.898047553559174,31.315786805750793,42.230452439981654,13.088530765449265,4.473123548669532,5.534610780823944
2010-03-29,1479.840196324891,10.936147598451294,32.39488684786788,41.345234922092295,11.097785136517182,4.087305944602772,5.518265460090473
