Date	thermD	AirT	Prec	CC	MLD	W	swr	delT	RelHum	U	Ice_d	day_from_iceoff	NOX-N	NH4-N	PO4-P	Tot-P	Si	Chl
1990-03-01	-17.8	-0.535	0.09	0.7975	-18.0	0.0029655440445539	51.505	-0.0086877346038818	87.25	2.7864377179922752	2.0	31.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-02	-17.8	-0.685	0.0	0.4325	-18.0	0.0013386646441002	90.508	-0.0079531669616699	63.25	7.849426456953719	2.0	32.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-03	-17.8	-1.2975	0.03	0.40625	-18.0	0.0006416412706358	93.743	-0.0072734355926513	56.125	5.79221945803161	2.0	33.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-04	-17.8	3.0775	5.24	0.7525	-18.0	0.0	52.951	-0.0039597749710083	84.875	5.742835516156196	2.0	34.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-05	-17.8	4.065	0.83	0.7	-18.0	0.0002407771284154	62.892	0.0004748106002807	68.75	12.21707130412195	2.0	35.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-06	-17.8	2.7275	0.02	0.24	-18.0	0.0001838844271392	111.167	-0.0010030269622802	50.5	8.772355949586746	2.0	36.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-07	-17.8	1.24	0.54	0.5125	-18.0	0.0009711677928878	73.459	-0.0029761791229248	62.5	5.660994039532722	2.0	37.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-08	-17.8	5.8275	0.28	0.4975	-18.0	0.0	114.507	-0.0003693103790283	58.625	9.11029202073814	2.0	38.0	435.42822265625	33.4624137878418	22.163400650024414	73.2370834350586	4.8165459632873535	11.446678161621094
1990-03-09	-17.8	2.565	6.9	0.87375	-18.0	0.0	60.556	0.0017976760864257	82.0	4.632335441289308	2.0	39.0	456.1156311035156	36.59903335571289	21.865089416503906	72.6182861328125	4.9020233154296875	10.653308868408203
1990-03-10	-17.8	0.3525	0.3	0.60875	-18.0	0.0009788559113757	95.716	-0.0014765262603759	61.875	7.961816517957758	2.0	40.0	441.6103820800781	35.130191802978516	21.808704376220703	72.6548080444336	4.887196063995361	10.776988983154297
1990-03-11	-17.8	-1.1475	8.14	0.64875	-18.0	0.0017559790032132	43.791	-0.0064358711242675	75.5	2.842933742742697	2.0	41.0	406.1807861328125	35.33815002441406	21.565139770507812	72.0410385131836	4.80979585647583	10.471349716186523
1990-03-12	-17.8	2.865	0.32	0.6875	-18.0	0.0025192407498584	111.745	-0.0074206590652465	68.75	5.895687844200199	2.0	42.0	428.4223937988281	35.17100143432617	20.712432861328125	72.06936645507812	4.875264644622803	9.603644371032715
1990-03-13	-17.8	-1.0225	0.0	0.08625	-18.0	0.0038864248505795	130.175	-0.0045473575592041	48.0	2.6810533873134643	2.0	43.0	469.115478515625	33.986793518066406	21.092422485351562	72.38265228271484	4.888079643249512	10.831477165222168
1990-03-14	-17.8	-0.0725	0.02	0.70125	-18.0	0.0129881614542848	62.908	-0.0223208665847778	67.75	5.19301908966499	2.0	44.0	439.85302734375	34.5389518737793	21.39090919494629	72.0503921508789	4.860994338989258	10.888313293457031
1990-03-15	-17.8	5.6775	0.0	0.955	-18.0	0.0003140585219764	48.175	0.0004315376281738	75.125	10.52516747565686	2.0	45.0	433.8569641113281	38.98752212524414	21.842769622802734	73.07536315917969	4.830470561981201	10.180831909179688
1990-03-16	-17.8	8.9025	1.38	0.95375	-18.0	0.0007712279799925	50.513	0.005728006362915	80.875	10.013626068075938	2.0	46.0	380.6531066894531	39.24770736694336	22.250713348388672	72.37338256835938	4.8157854080200195	9.561902046203613
1990-03-17	-17.8	10.415	0.02	0.8425	-18.0	0.0005429278034195	74.477	0.0084187984466552	70.625	7.459434174461559	2.0	47.0	370.4136962890625	42.16055679321289	22.167003631591797	73.50626373291016	4.811196327209473	9.125295639038086
1990-03-18	-17.8	11.2275	0.0	0.39625	-18.0	0.0003961124891922	142.206	0.0096309185028076	67.875	6.966798549638851	2.0	48.0	370.7664489746094	38.028324127197266	22.686330795288086	73.4343032836914	4.6738810539245605	8.735215187072754
1990-03-19	-17.8	10.515	0.02	0.42875	-18.0	0.0001396177074014	93.44	0.0073862075805664	63.5	10.061017359715668	2.0	49.0	355.8763732910156	38.612728118896484	20.286582946777344	72.31014251708984	4.720761775970459	8.693511962890625
1990-03-20	-17.8	5.965	0.48	0.4725	-18.0	0.0003808103945762	138.458	0.0030984878540039	65.625	7.929638454281822	2.0	50.0	330.9932556152344	33.645423889160156	21.273656845092773	71.89677429199219	4.596518039703369	9.161052703857422
1990-03-21	-17.8	4.8275	5.35	0.8375	-18.0	0.0006217403041693	46.485	0.0008137226104736	88.0	8.15845240858369	2.0	51.0	253.54762268066406	31.19435691833496	22.521793365478516	74.65831756591797	4.294466495513916	7.814537048339844
1990-03-22	-17.8	7.615	0.02	0.45625	-18.0	0.0003420367639266	125.085	0.0011990070343017	63.75	10.568334797432613	2.0	52.0	289.3633728027344	32.35594177246094	22.715940475463867	73.62865447998047	4.089247226715088	9.371155738830566
1990-03-23	-17.8	5.9025	0.15	0.61375	-18.0	0.0003341427676752	121.147	0.0010924339294433	64.125	8.575005944786568	2.0	53.0	319.6636657714844	33.276092529296875	23.811969757080078	72.5058364868164	4.149327278137207	10.486001968383789
1990-03-24	-17.8	7.665	1.13	0.66	-18.0	0.0002974527329329	121.836	0.0012845993041992	67.5	11.50881396270376	2.0	54.0	367.0029602050781	35.44327163696289	24.050939559936523	71.35375213623047	4.1623454093933105	11.220541000366211
