Date,thermD,U,AirT,Prec,RelHum,swr,CC,MLD,W,delT,Ice_d,day_from_iceoff,NOX-N,PO4-P,Tot-N,Tot-P,NH4-N,Si,Chl
1999-03-01,-17.8,8.924281768194291,2.665,4.61,83.625,68.098,0.8075,-18.0,0.001247279551191,0.0020571798086166,121.0,-17.0,450.62641242571846,16.921686182132426,705.0,57.58812803313927,35.965119405896,2.0432077446177654,18.578604851383346
1999-03-02,-17.8,3.774414689723428,0.715,1.93,91.25,61.031,0.90875,-18.0,0.0002548971797896,0.0015624165534973,121.0,-16.0,454.92155475398613,17.66955766124852,728.0,57.95076681290094,39.37919930624699,2.3465466704838995,18.49167735798276
1999-03-03,-17.8,3.9674947325894463,-1.46,1.83,87.125,32.698,0.99125,-18.0,0.0006562664366026,-0.0012429058551788,121.0,-15.0,450.61309617534033,17.681526611157242,819.3333333333334,57.78594254466011,41.69281616689542,2.4278424980682334,18.38318098485858
1999-03-04,-17.8,5.963384794152144,-0.0225,5.04,92.25,30.795,0.9875,-18.0,0.001570510438363,-0.0020813196897506,121.0,-14.0,452.6491309988973,17.518549534186967,833.75,57.11652312508072,42.43893037101448,2.3417552826260213,18.394461081551224
1999-03-05,-17.8,6.572157298977254,0.615,6.65,97.375,30.668,1.0,-18.0,0.0005011090120352,8.921325206756592e-05,121.0,-13.0,449.46423328499077,17.28365960415711,842.4,57.238815781783295,41.360336822600814,2.2787924172533867,18.417296478652055
1999-03-06,-17.8,8.981777233132927,1.0275,1.03,97.75,30.608,1.0,-18.0,0.0,0.0008371919393539,121.0,-12.0,447.21082151091724,17.091797063071024,869.0,57.23465120301886,41.02241474140546,2.2473144288570652,18.421866010617666
1999-03-07,-17.8,7.18035277793682,1.9525,4.22,93.75,40.968,0.85875,-18.0,0.0004603728436506,0.0012702941894531,121.0,-11.0,449.3946588820312,17.140348622789244,870.1428571428571,57.28291393851895,40.78306773533798,2.2079197551776955,18.46833584193438
1999-03-08,-17.8,5.574947449303894,0.19,0.24,93.375,38.533,0.9625,-18.0,0.0,0.0005930960178375,121.0,-10.0,446.0687161160757,17.00001447776908,912.5714285714286,57.24613699590936,41.599700679679685,2.215169034588442,18.424590681383336
1999-03-09,-17.8,6.328152499940247,-2.5975,0.76,82.375,44.1,0.98125,-18.0,0.0016550470924977,-0.0024295151233673,121.0,-9.0,442.9534875304171,16.583012087021558,948.4285714285714,56.618528191450686,41.766636403382236,2.157392489703683,18.421127225436123
1999-03-10,-17.8,4.995393503018556,-3.81,1.01,85.0,47.397,0.9825,-18.0,0.0012283928379702,-0.005046471953392,121.0,-8.0,442.5487849382848,16.358695517628014,948.4285714285714,56.09558962829988,41.701048471164334,2.0912373608118484,18.488462955162912
