Date	AirT	delT	U	CC	Humidity	Prec(mm/d)	swr(w/m2)	inflow(m3/s)	outflow(m3/s)	Ice_d	days from iceoff	MLD	thermD	W	O2	NOX	NH4	PO4	TotP	Si	Chl
1999-04-01	4.097500000000001	-0.3105799999999998	2.2850000000000006	0.5416666666666666	79.625	0.0	530.6	2.761	-2.327	110	-8.0	-21.0	-15.0	0.0170545871054334	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-02	4.047916666666667	-0.2432100000000003	2.896041666666667	0.3499999999999999	82.52083333333333	0.0	558.2	2.547	-2.344	110	-7.0	-21.0	-15.0	0.0283232060799362	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-03	2.879583333333333	-0.1259400000000003	2.453666666666668	0.3541666666666667	72.91666666666667	0.0	558.8	2.351	-2.345	110	-6.0	-21.0	-15.0	0.0051622016353961	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-04	1.5174999999999998	0.0141199999999996	2.815458333333334	0.4125	67.79166666666667	0.0	558.4	2.1740000000000004	-2.331	110	-5.0	-21.0	-15.0	0.031896408755968	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-05	4.11625	0.12677	3.858375	0.4875	66.75	0.0	605.6	2.014	-2.304	110	-4.0	-21.0	-15.0	0.0246162508050422	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-06	5.820416666666667	0.2682250000000001	3.9112916666666666	0.9083333333333332	84.875	5.299999999999998	310.4	1.87	-2.269	110	-3.0	-21.0	-15.0	0.0066949783101785	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-07	4.021250000000001	0.2420449999999996	1.828375	0.9791666666666666	94.14166666666668	7.099999999999997	183.8	1.746	-2.227	110	-2.0	-21.0	-15.0	0.0061297542236169	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-08	4.4350000000000005	0.2251900000000004	3.940375	0.7625000000000002	76.02083333333333	0.0	572.0	1.628	-2.18	110	-1.0	-21.0	-15.0	0.0220714650621454	408.8921813964844	2.693507194519043	0.44844257831573486	0.241153284907341	0.9920222163200378	58.80646514892578	11.638790130615234
1999-04-09	8.345416666666667	0.0869799999999996	8.55725	0.8875000000000001	72.08333333333333	0.0	509.1	1.515	-2.135	110	0.0	-21.0	-15.0	0.0067104964008169	411.4739990234375	2.176431655883789	0.5274147391319275	0.19609187543392181	1.039354920387268	58.95253372192383	11.990200996398926
1999-04-10	8.117916666666668	0.1081049999999996	5.233208333333333	0.8541666666666669	78.74583333333334	0.0	289.3	1.41	-2.091	110	1.0	-21.0	-15.0	0.0010787380616368	408.0583801269531	2.035797119140625	0.503161609172821	0.2290264219045639	1.188043475151062	64.16484832763672	11.23332691192627
1999-04-11	5.706666666666668	0.0467249999999999	6.479874999999999	0.9541666666666668	82.79166666666667	1.1999999999999995	377.9	1.312	-2.049	110	2.0	-21.0	-15.0	0.0043814351451495	403.889404296875	1.6205419301986694	0.5820220708847046	0.23459096252918243	1.2790626287460327	68.85353088378906	12.372651100158691
1999-04-12	2.452083333333333	0.1466249999999997	4.381166666666666	0.9875000000000002	76.875	2.2000000000000006	622.5	1.219	-2.008	110	3.0	-21.0	-15.0	0.0013700839457553	407.3092041015625	1.2604424953460693	0.5493717789649963	0.236140638589859	1.254854440689087	63.48722839355469	12.63119888305664
1999-04-13	3.5570833333333334	0.1359149999999997	3.990875	1.0	94.25	8.099999999999996	150.7	1.13	-1.969	110	4.0	-21.0	-15.0	0.0	407.37799072265625	1.6178876161575317	0.42495790123939514	0.4090040922164917	1.2320666313171387	63.08810043334961	9.259846687316895
1999-04-14	4.98375	0.1154550000000003	3.396000000000001	0.9541666666666668	89.09583333333335	5.200000000000002	540.3	1.049	-1.931	110	5.0	-21.0	-15.0	0.0035271259955481	396.4783020019531	0.9936291575431824	0.4734189808368683	0.2579595446586609	1.0689928531646729	62.241878509521484	11.469112396240234
1999-04-15	3.3529166666666668	0.0700600000000002	4.064999999999999	0.7083333333333334	85.75	0.5999999999999998	400.3	1.023	-1.894	110	6.0	-21.0	-15.0	0.003810850760015	409.472412109375	0.6560897827148438	0.6185231804847717	0.18404224514961243	1.0999751091003418	69.23014831542969	11.604877471923828
1999-04-16	5.327499999999999	0.1750399999999992	4.5205416666666665	0.6958333333333333	66.95833333333333	0.0	589.6	1.002	-1.858	110	7.0	-21.0	-15.0	0.0029171956460834	410.5266418457031	0.46044284105300903	0.6095284223556519	0.17050981521606445	1.1175575256347656	64.9730224609375	12.569938659667969
